X,Y,objectid_1,zuj,alkohol_vinik,hlavni_pricina,srazka,nasledky,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,pneumatiky,druh_pohonu,druh_vozidla,mestska_cast,pohlavi,alkohol,den_v_tydnu,mesic_t,katastr,chovani_chodce,stav_chodce,drogy_chodec,alkohol_chodec,osobni_prepravnik,reflexni_prvky,kategorie_chodce,nasledek,ozn_osoba,zavineni,viditelnost,situovani,osoba,stav_ridic,doba,smrt_po,lz,target_fid_1,join_count_1,objectid,join_count,target_fid,den,vek,smrt_dny,rok_nar,p48a,p59d,rok,tz,smrt,lehce_zran_os,tezce_zran_os,usmrceno_os,id_vozidla,hodina,ovlivneni_ridice,cas,mesic,e,d,id_nehody,datum,hmotna_skoda_1,skoda_vozidlo,globalid
-599755,-1160611,1,Brno-střed,ne,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,neděle,leden,Stránice,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3954,1,3954,1,3954,7,38,,1938,1,38,2023,0,0,1,0,0,2,13,1,1358,1,-1160611,-599755,60223000001,2023/01/01 00:00:00+00,32000,2000,1383c690-4eaf-495c-9d01-833bac492dfb
-597767,-1161166,2,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,elektro,koloběžka,Brno-střed,muž,Ne,sobota,leden,Město Brno,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3958,1,3958,1,3958,6,47,,1947,1,47,2023,0,0,1,0,0,1,13,1,1320,1,-1161166,-597767,60223000105,2023/01/28 00:00:00+00,0,0,04539401-8aca-4c8a-b24d-e4a46f051506
-599421,-1160480,3,Brno-střed,ne,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda pouze s hmotnou škodou,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,úterý,březen,Stránice,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,3961,1,3961,1,3961,2,57,,1957,1,57,2023,0,0,0,0,0,1,7,1,715,3,-1160480,-599421,60223000266,2023/03/07 00:00:00+00,15000,5000,db60cd4e-c099-46ed-baa7-f348ff1b2b11
-598493,-1160741,4,Brno-střed,ne,nepřiměřená rychlost jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,neděle,březen,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na stezce pro cyklisty,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3962,1,3962,1,3962,7,19,,2019,1,19,2023,0,0,1,0,0,1,11,1,1110,3,-1160741,-598493,60223000332,2023/03/19 00:00:00+00,12000,2000,312b5a62-bae3-4556-8ca9-9792b65e5503
-598242,-1161310,5,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,nezvládnutí řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,čtvrtek,březen,Město Brno,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na kolejích tramvaje,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3964,1,3964,1,3964,4,23,,1923,3,23,2023,0,0,1,0,0,1,8,1,818,3,-1161310,-598242,60223000353,2023/03/23 00:00:00+00,0,0,5b08285f-b04e-484c-afe8-b6e40da3c71f
-598182,-1160490,6,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,úterý,duben,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3968,1,3968,1,3968,2,59,,1959,0,59,2023,0,0,1,0,0,1,16,1,1650,4,-1160490,-598182,60223000445,2023/04/11 00:00:00+00,0,0,e22f94f8-dd24-40fe-9018-7b3f2d003a6b
-598601,-1161034,7,Brno-střed,ano,nesprávný způsob jízdy,"srážka s vozidlem zaparkovaným, odstaveným",nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,elektro,koloběžka,Brno-střed,muž,"Ano, obsah alkoholu v krvi 1,5‰ a více",neděle,duben,Staré Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,den,,1,3974,1,3974,1,3974,7,25,,1925,3,25,2023,0,0,1,0,0,1,8,1,840,4,-1161034,-598601,60223000545,2023/04/30 00:00:00+00,5000,0,584f0e2d-3845-411f-affb-8ecf87e5e1d6
-597823,-1160792,8,Brno-střed,ano,nepřiměřená rychlost jízdy,havárie,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,elektro,koloběžka,Brno-střed,muž,"Ano, obsah alkoholu v krvi 1,5‰ a více",sobota,květen,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",žádné z uvedenýc,řidič,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,noc,,1,3976,1,3976,1,3976,6,23,,1923,3,23,2023,0,0,1,0,0,1,1,1,110,5,-1160792,-597823,60223000575,2023/05/06 00:00:00+00,0,0,042afdfb-c31d-4557-a01f-63577c7cd7c7
-597589,-1160698,9,Brno-střed,ano,nedání přenosti v jízdě,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,při odbočování vlevo,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",sobota,květen,Zábrdovice,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",noc,,1,3981,1,3981,1,3981,6,35,,1935,1,35,2023,0,0,1,0,0,1,5,1,5,5,-1160698,-597589,60223000652,2023/05/20 00:00:00+00,55000,5000,26b9626d-212b-4153-b23a-c254d86e0834
-598243,-1161418,10,Brno-střed,ano,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda pouze s hmotnou škodou,nedodržení bezpečné vzdálenosti za vozidlem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,"Ano, obsah alkoholu v krvi od 0,8‰ do 1,0‰",pondělí,květen,Staré Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",noc,,0,3982,1,3982,1,3982,1,33,,1933,1,33,2023,0,0,0,0,0,1,21,1,2160,5,-1161418,-598243,60223000667,2023/05/22 00:00:00+00,6000,1000,63b5c8e5-e25e-464c-be0b-2196197a30f0
