X,Y,objectid,match_addr,company_name,nace_rev_2_code,kod,interval,odvětví,industry
16.6193310900001,49.1896412660001,1,"Cyrilská 357/14, 602 00, Trnitá, Brno-střed, Brno, Brno-město, Jihomoravský kraj",LAW and ORDER s.r.o.,6832,68,6 - 9,Činnosti v oblasti nemovitostí,Real estate activities
16.610050395,49.1999048220001,2,"Koliště 1965/13a, 602 00, Černá Pole, Brno-střed, Brno, Brno-město, Jihomoravský kraj","REAL GROUP SDK, s.r.o.",6831,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
16.6055936540001,49.17616589,3,"Pražákova 1008/69, 639 00, Štýřice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",Národníenergie a.s.,3514,35,6 - 9,"Dodávání elektřiny, plynu, páry a klimatizovaného vzduchu","Electricity, gas, steam and air conditioning supply"
16.590044134,49.2233337500001,4,"Slovanské náměstí 1468/12, 612 00, Královo Pole, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj","Lokomoce, z.s.",9499,94,6 - 9,Činnosti organizací sdružujících osoby za účelem prosazování společných a veřejných zájmů,Activities of membership organisations
16.6117488200001,49.204546846,5,"Vrchlického sad 1893/3, 602 00, Černá Pole, Brno-střed, Brno, Brno-město, Jihomoravský kraj",FIRST BUILDING s.r.o.,236,23,6 - 9,"Sběr a získávání volně rostoucích plodů a materiálů, kromě dřeva",Gathering of wild growing non-wood products
16.613628127,49.2000691910001,6,"Příkop 843/4, 602 00, Zábrdovice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",BOLDO s.r.o.,46,46,6 - 9,Velkoobchod,Wholesale trade
16.605920213,49.201857638,7,"Lidická 1005/23b, 602 00, Veveří, Brno-střed, Brno, Brno-město, Jihomoravský kraj",PANK s.r.o.,461,46,6 - 9,Velkoobchod,Wholesale trade
16.585154802,49.224402485,8,"Berkova 534/92, 612 00, Královo Pole, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj",KOLI Stavby s.r.o.,4120,41,6 - 9,Výstavba bytových a nebytových budov,Construction of residential and non-residential buildings
16.6055936540001,49.17616589,9,"Pražákova 1008/69, 639 00, Štýřice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",Plao Group s.r.o.,10,10,6 - 9,Výroba potravinářských výrobků,Manufacture of food products
16.6581147430001,49.2022164260001,10,"Bořetická 4133/6, 628 00, Židenice, Brno-Vinohrady, Brno, Brno-město, Jihomoravský kraj",Productivity Consulting s.r.o.,702,70,6 - 9,Činnosti řízení podniků a poradenství v oblasti podnikání,Activities of head offices and management consultancy
16.5990918110001,49.216133654,11,"Štefánikova 131/61, 612 00, Ponava, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj",ZTB Energo 3 s.r.o.,7120,71,6 - 9,Těžba železných rud,Mining of iron ores
16.6110226120001,49.1975416700001,12,"Rooseveltova 593/10, 602 00, Brno-město, Brno-střed, Brno, Brno-město, Jihomoravský kraj",J.K. accounting s.r.o.,6920,69,6 - 9,Právní a účetnické činnosti,Legal and accounting activities
16.6055936540001,49.17616589,13,"Pražákova 1008/69, 639 00, Štýřice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",Red Socks Production s.r.o.,1820,18,6 - 9,Tisk a rozmnožování nahraných nosičů,Printing and reproduction of recorded media
16.5833039940001,49.221694837,14,"Královopolská 2804/141, 612 00, Královo Pole, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj",KAPIS s.r.o.,6820,68,6 - 9,Činnosti v oblasti nemovitostí,Real estate activities
